post_id,text,sentiment_gold,tickers_gold,ambiguity_score,notes
synthetic_0517,Isn't BB the most obvious buy in the market right now? What am I missing? ⬆️ $462,neutral,['BB'],4,Bullish rhetorical question seeking disconfirmation
synthetic_0479,RIP my BB calls. Gone but not forgotten. $359,meme,['BB'],4,Loss acknowledgment with meme tone
synthetic_0538,wen moon 🎰 🤡 📦,meme,[],3,"Meme question, no real analysis"
synthetic_0112,GOOG is getting destroyed but the insiders are buying. I'm following the smart money in.,bullish,['GOOG'],3,Negative price action but focuses on insider buying signal
synthetic_0254,idk Down 80% on my calls. At least I still have my cardboard box 🦍,meme,[],3,Loss report with humor indicates meme culture sharing
synthetic_0319,what could go wrong buying $AMD at all time highs. literally cant go tits up 🤡 🦍 ABSOLUTELY 492 shares,meme,['AMD'],5,Famous last words meme + sarcasm
synthetic_0158,imo $SPY Q3 revenue up 95% YoY. Absolutely crushing it. Loading more shares.,bullish,['SPY'],2,News data point with clear bullish interpretation
synthetic_0324,Lost everything on GME. Anyway heres wonderwall. 🤡 🦍 🎰,meme,['GME'],4,Real loss but deflects with humor
synthetic_0035,Analysts downgrading NVDA means its time to load up. Sell side is always late. ALWAYS,bullish,['NVDA'],3,Acknowledges bearish signal but dismisses it
synthetic_0306,Bearish on MSFT long term but just bought weeklies. Make it make sense. lmao also watching SOFI,meme,"['MSFT', 'SOFI']",5,Explicitly contradictory position
synthetic_0120,lmao bears 💎 🎰,meme,[],3,Taunting bears but no substantive position
synthetic_0088,Fundamentally HOOD is trash. Technically its bullish. Emotionally I'm destroyed. Buying more. 🎰,meme,['HOOD'],5,Triple contradictory layers of self-awareness
synthetic_0553,$TSLA insiders sold $106M worth of shares last quarter. Just the data. fwiw #bearish,neutral,['TSLA'],3,Bearish signal presented as neutral information
synthetic_0053,I know this sounds like a meme but I genuinely believe GME is transforming into a tech company. Not just apes. Real DD. LITERALLY,bullish,['GME'],3,Self-aware meme language but genuine conviction underneath
synthetic_0548,oh yeah $SOFI is DEFINITELY a buy here. Totally not a trap.,meme,['SOFI'],4,Definitely + sarcastic construction = mocking
synthetic_0039,Everyone laughs at SOFI but the balance sheet is actually solid. Unironically bullish. HUGE,bullish,['SOFI'],3,Acknowledges meme status but expresses real thesis
synthetic_0384,Short interest on AMZN at 48%. Highest in the sector. Interesting. bruh also watching BB,neutral,"['AMZN', 'BB']",3,Presents metric without taking sides
synthetic_0327,bruh 🦍 🤡 🍗,meme,[],3,Reaction with no directional content
synthetic_0169,My brain says sell $AMZN but my heart says diamond hands. ALWAYS also watching AMZN,meme,['AMZN'],4,Internal conflict expressed as meme
synthetic_0552,💰💰💰 BIG,meme,[],4,"Only emojis, no text substance"
synthetic_0143,moon soon 🤡 🍔 MASSIVE,meme,[],4,Bullish or meme? Too short and generic
synthetic_0101,lol $AMC just got upgraded by Goldman. Target $484. About time. 🚀,bullish,['AMC'],2,News plus agreement with bullish thesis
synthetic_0145,I think $HOOD is overvalued but I keep buying every dip lol,meme,['HOOD'],5,"Contradicts own analysis with action, self-aware humor"
synthetic_0341,If you're not buying NVDA at these prices you hate money. fwiw 🌙 📈 💰,bullish,['NVDA'],2,Clear bullish - conviction buy
synthetic_0093,Loading up on $TSLA while everyone is sleeping on it. Undervalued af. #YOLO ALWAYS,bullish,['TSLA'],1,Clear bullish - conviction buy
synthetic_0242,GME is growing revenue at 80% and trading at 15x forward. Makes no sense to me.,bullish,['GME'],2,Clear bullish - subtle bull
synthetic_0467,lol Bought WISH at the open. PT $868. Easy 2x from here. 📈 🤑,bullish,['WISH'],1,Clear bullish - conviction buy
synthetic_0083,Short interest on BB heading into earnings is insane. This is going to squeeze.,bullish,['BB'],1,Clear bullish - earnings optimism
